too_id,fiber_type,catalogid,sdss_id,gaia_dr3_source_id,twomass_pts_key,sky_brightness_mode,ra,dec,pmra,pmdec,epoch,parallax,lambda_eff,u_mag,g_mag,r_mag,i_mag,z_mag,optical_prov,gaia_bp_mag,gaia_rp_mag,gaia_g_mag,h_mag,delta_ra,delta_dec,can_offset,inertial,n_exposures,priority,active,expiration_date,observed
44,BOSS,,,,,,169.67616271972656,-10.8683157,,,,,,23.757376,23.018812,22.498236,22.013803,21.787107,,,,,,,,TRUE,,3,5,TRUE,,FALSE
45,BOSS,,,,,,18.08656883239746,27.824718475341797,,,,,,23.850815,23.642157,22.641645,22.254175,21.973812,,,,,,,,TRUE,,3,5,TRUE,,FALSE
46,BOSS,,,,,,189.5998526,-51.12843654,,,,,,18.021381,18.021381,18.021381,18.021381,18.021381,,,,,,,,TRUE,,3,5,TRUE,,FALSE
47,APOGEE,,,,,,291.1813965,25.48657799,-2.1368947,-9.121573,,0.9166721,,,,,,,,,,13.975713,,,,TRUE,,3,5,TRUE,,FALSE
48,APOGEE,,,,,,253.43643188476562,-34.8242836,-6.0795503,-6.874174,,0.12813249,,,,,,,,,,15.535668,,,,TRUE,,3,5,TRUE,,FALSE
49,APOGEE,,,5404423804617714176,,,149.12953186035156,-53.28446579,-7.2144337,0.5768588,,0.85302585,,,,,,,,16.480652,15.13847,15.8875885,,,,TRUE,,3,5,TRUE,,FALSE
50,BOSS,,,,1235344402,,283.71380615234375,12.371167182922363,,,,,,,,,,,,,,,14.457,,,TRUE,,3,5,TRUE,,FALSE
51,APOGEE,,,6240994682646514816,,,234.66082763671875,-22.23919487,8.803073,-8.529166,,1.8465331,,,,,,,,15.579301,14.333661,15.03334,,,,TRUE,,3,5,TRUE,,FALSE
52,APOGEE,,,5799990498730796288,,,222.24554443359375,-68.69470215,-9.333442,0.32404658,,0.9524031,,,,,,,,15.666204,14.528124,15.178019,,,,TRUE,,3,5,TRUE,,FALSE
53,BOSS,,,,,,70.93364822766145,-15.68639374,,,,,,,,,,,,,,14.216855,,,,TRUE,,3,5,TRUE,,FALSE
54,BOSS,,,,,,313.3588605988401,-64.90821688,,,,,,,,,,,,,,13.435437,,,,TRUE,,3,5,TRUE,,FALSE
55,BOSS,,,,,,326.9616173610489,79.09138071896493,,,,,,14.31843,14.31843,14.31843,14.31843,14.31843,,,,,,,,TRUE,,3,5,TRUE,,FALSE
56,APOGEE,,,,,,205.42795397141813,-39.49090413,,,,,,,,,,,,,,13.221332,,,,TRUE,,3,5,TRUE,,FALSE
57,BOSS,,,1826398116403682688,,,299.416748,20.76044273376465,-1.5154749,-7.1681933,,1.4013343,,,,,,,,16.049578,14.941574,15.806762,,,,TRUE,,3,5,TRUE,,FALSE
58,APOGEE,,,,,,266.9850158691406,-59.67505646,2.8675766,-10.243619,,0.78981423,,,,,,,,,,13.856769,,,,TRUE,,3,5,TRUE,,FALSE
59,APOGEE,,,,,,342.1569026,-1.970879794,,,,,,,,,,,,,,18.382395,,,,TRUE,,3,5,TRUE,,FALSE
60,APOGEE,,,,,,84.32974155834334,-71.86153763,,,,,,,,,,,,,,15.590839,,,,TRUE,,3,5,TRUE,,FALSE
61,BOSS,,,,,,190.79627990722656,64.75472259521484,,,,,,25.67888,24.772968,24.392704,23.133852,20.292099,,,,,,,,TRUE,,3,5,TRUE,,FALSE
62,BOSS,,,,,,173.6854070297808,2.271468995779159,,,,,,15.273549,15.273549,15.273549,15.273549,15.273549,,,,,,,,TRUE,,3,5,TRUE,,FALSE
63,BOSS,,,,,,52.46262741088867,40.507850646972656,,,,,,24.448252,24.801268,24.68017,24.578358,21.238506,,,,,,,,TRUE,,3,5,TRUE,,FALSE
64,APOGEE,,,6803637082046987264,,,318.16033935546875,-24.32069778,-0.47882384,-4.6342425,,0.6224656,,,,,,,,16.321484,15.414918,15.947643,,,,TRUE,,3,5,TRUE,,FALSE
65,BOSS,,,,,,238.2233428955078,42.61351395,,,,,,21.691912,21.406952,20.851591,20.511356,20.34639,,,,,,,,TRUE,,3,5,TRUE,,FALSE
66,BOSS,,,,,,214.76776123046875,-20.05138397,,,,,,17.87514,16.314484,15.600426,15.377921,15.27553,,,,,,,,TRUE,,3,5,TRUE,,FALSE
67,BOSS,,,4082759803798636416,,,290.40240478515625,-20.68270493,-7.3011193,-8.890116,,0.5668037,,,,,,,,16.179142,15.32184,15.846203,,,,TRUE,,3,5,TRUE,,FALSE
68,APOGEE,,,,,,304.1143798828125,8.554203033447266,,,,,,20.532293,18.858007,18.105993,17.792877,17.604002,,,,,,,,TRUE,,3,5,TRUE,,FALSE
69,APOGEE,63050396573102637,,,881141965,,60.59712600708008,47.69127655029297,,,,,,,,,,,,,,,15.367,,,TRUE,,3,5,TRUE,,FALSE
70,APOGEE,,,,,,276.6059265136719,-13.92156696,-0.87135726,-4.060744,,0.3275647,,,,,,,,,,15.232843,,,,TRUE,,3,5,TRUE,,FALSE
71,BOSS,,,1829969948631172992,,,301.3713073730469,22.256240844726562,-5.1121564,-4.497712,,0.7647907,,,,,,,,15.696336,14.445488,15.17279,,,,TRUE,,3,5,TRUE,,FALSE
72,BOSS,,,2131947449919047424,,,285.9072266,48.94021987915039,-0.025091171,0.53291553,,0.60776937,,,,,,,,15.642535,14.802854,15.306992,,,,TRUE,,3,5,TRUE,,FALSE
73,APOGEE,,,,,,90.88671974,-27.27798089,,,,,,19.80138,19.80138,19.80138,19.80138,19.80138,,,,,,,,TRUE,,3,5,TRUE,,FALSE
74,BOSS,,,,,,27.59313965,28.288711547851562,,,,,,24.926758,22.816109,22.242037,21.833595,21.430048,,,,,,,,TRUE,,3,5,TRUE,,FALSE
75,APOGEE,,,,,,61.32428841847853,-51.61235829,,,,,,16.965103,16.965103,16.965103,16.965103,16.965103,,,,,,,,TRUE,,3,5,TRUE,,FALSE
76,BOSS,,,,,,225.9148406982422,42.65070343017578,,,,,,23.71794,23.345898,22.717432,22.086817,22.033043,,,,,,,,TRUE,,3,5,TRUE,,FALSE
77,APOGEE,,,6084172438692073856,,,202.0572967529297,-46.5917778,-0.43000337,-0.99476254,,0.8928374,,,,,,,,14.703981,13.881974,14.377015,,,,TRUE,,3,5,TRUE,,FALSE
78,BOSS,,,,,,109.59927368164062,30.334585189819336,,,,,,23.39626,22.28673,21.509962,21.359001,20.277046,,,,,,,,TRUE,,3,5,TRUE,,FALSE
79,BOSS,,,,1247237537,,183.05258178710938,-61.80580521,,,,,,,,,,,,,,,13.899,,,TRUE,,3,5,TRUE,,FALSE
80,APOGEE,,,,,,332.8862052416298,-70.25785712,,,,,,,,,,,,,,18.625954,,,,TRUE,,3,5,TRUE,,FALSE
81,APOGEE,,,,,,157.18920917502177,-81.68580769,,,,,,17.136791,17.136791,17.136791,17.136791,17.136791,,,,,,,,TRUE,,3,5,TRUE,,FALSE
82,APOGEE,,,,,,324.36694662030385,18.853847795638956,,,,,,15.8132105,15.8132105,15.8132105,15.8132105,15.8132105,,,,,,,,TRUE,,3,5,TRUE,,FALSE
83,APOGEE,,,,,,186.9317775249239,19.63538977732341,,,,,,,,,,,,,,18.928991,,,,TRUE,,3,5,TRUE,,FALSE
84,BOSS,,,,,,121.06922149658203,23.145545959472656,,,,,,23.575663,22.807844,21.505783,21.21398,20.455107,,,,,,,,TRUE,,3,5,TRUE,,FALSE
85,BOSS,,,,,,101.22248077392578,10.302441596984863,,,,,,17.084484,14.776092,14.332685,13.131848,12.773293,,,,,,,,TRUE,,3,5,TRUE,,FALSE
86,APOGEE,,,,,,4.145135272,7.289044771729607,,,,,,,,,,,,,,10.2851715,,,,TRUE,,3,5,TRUE,,FALSE
87,BOSS,,,4511268690924589184,,,282.3520508,17.221071243286133,0.037170157,-2.4240265,,0.45267987,,,,,,,,13.277962,11.734461,12.553878,,,,TRUE,,3,5,TRUE,,FALSE
88,APOGEE,,,,,,257.7920573015427,-13.66046857,,,,,,,,,,,,,,17.302023,,,,TRUE,,3,5,TRUE,,FALSE
89,BOSS,,,,,,182.99066162109375,7.276773452758789,,,,,,25.286516,24.02073,22.77824,22.970306,22.66189,,,,,,,,TRUE,,3,5,TRUE,,FALSE
90,APOGEE,,,,,,241.20236144839555,-73.64303169,,,,,,,,,,,,,,11.724846,,,,TRUE,,3,5,TRUE,,FALSE
91,APOGEE,,,4067114268822744448,,,266.43731689453125,-25.92999649,-2.0346615,-6.8709016,,0.15432438,,,,,,,,20.052053,13.817839,15.52432,,,,TRUE,,3,5,TRUE,,FALSE
92,BOSS,,,,,,36.787410736083984,-3.406038523,3.2144544,-16.144226,,0.13972853,,,,,,,,,,15.57395,,,,TRUE,,3,5,TRUE,,FALSE
93,BOSS,,,,,,110.14348525798255,83.70086402803094,,,,,,16.740643,16.740643,16.740643,16.740643,16.740643,,,,,,,,TRUE,,3,5,TRUE,,FALSE
94,APOGEE,,,,,,222.04954121471215,-82.64486523,,,,,,12.802641,12.802641,12.802641,12.802641,12.802641,,,,,,,,TRUE,,3,5,TRUE,,FALSE
95,BOSS,,,,,,150.28236029286992,12.780074710132851,,,,,,,,,,,,,,11.058099,,,,TRUE,,3,5,TRUE,,FALSE
96,APOGEE,,,,,,198.92550659179688,-7.81828928,-25.817423,-6.0447335,,2.0468123,,,,,,,,,,14.932469,,,,TRUE,,3,5,TRUE,,FALSE
97,BOSS,,,3058004280829321216,,,109.91910552978516,-6.497790337,-0.77837294,-1.0646995,,0.47408396,,,,,,,,15.773341,14.885421,15.413329,,,,TRUE,,3,5,TRUE,,FALSE
98,APOGEE,,,4124058250874645120,,,265.7625427246094,-16.5740242,-3.9413574,-9.323677,,0.36199063,,,,,,,,16.435127,14.9882965,15.787186,,,,TRUE,,3,5,TRUE,,FALSE
99,APOGEE,,,5306000230983976064,,,146.57969665527344,-57.40896988,-4.738899,4.427131,,0.2660805,,,,,,,,15.356114,13.549028,14.477364,,,,TRUE,,3,5,TRUE,,FALSE
100,BOSS,,,,,,30.66155433654785,-51.75399399,12.393519,9.495563,,1.5087881,,,,,,,,,,15.459929,,,,TRUE,,3,5,TRUE,,FALSE
101,BOSS,,,,,,84.12731934,-33.31795883,-2.465497,9.190811,,1.2413044,,,,,,,,,,14.503324,,,,TRUE,,3,5,TRUE,,FALSE
102,BOSS,,,,,,199.9457302488781,-23.11921598,,,,,,,,,,,,,,10.615183,,,,TRUE,,3,5,TRUE,,FALSE
103,BOSS,,,,,,16.03748893737793,25.417741775512695,-4.400728,-1.5684812,,0.38166034,,,,,,,,,,15.913676,,,,TRUE,,3,5,TRUE,,FALSE
104,BOSS,,,5589823077311081600,,,110.65379333496094,-36.06587982,-0.6404882,-9.988043,,1.0768558,,,,,,,,14.299001,13.129776,13.792185,,,,TRUE,,3,5,TRUE,,FALSE
105,APOGEE,,,,,,310.1600341796875,38.229766845703125,,,,,,23.78788,23.197731,20.0639,18.372051,17.09461,,,,,,,,TRUE,,3,5,TRUE,,FALSE
106,BOSS,,,,,,343.5453796386719,-19.09307098,,,,,,25.092176,23.355574,22.229536,20.977276,20.669867,,,,,,,,TRUE,,3,5,TRUE,,FALSE
107,APOGEE,,,,,,113.55461883544922,41.74734115600586,,,,,,24.048195,22.009817,20.620548,18.931036,18.067003,,,,,,,,TRUE,,3,5,TRUE,,FALSE
108,BOSS,,,,,,350.910641,-67.78304816,,,,,,17.513182,17.513182,17.513182,17.513182,17.513182,,,,,,,,TRUE,,3,5,TRUE,,FALSE
109,BOSS,,,,,,206.13137577554156,28.26903834775473,,,,,,,,,,,,,,19.590464,,,,TRUE,,3,5,TRUE,,FALSE
110,APOGEE,,,,,,19.159570091527762,40.29415799238788,,,,,,,,,,,,,,18.978848,,,,TRUE,,3,5,TRUE,,FALSE
111,APOGEE,,,,,,5.744895756426773,84.49992168645656,,,,,,18.6805,18.6805,18.6805,18.6805,18.6805,,,,,,,,TRUE,,3,5,TRUE,,FALSE
112,APOGEE,,,,,,324.01678466796875,48.811710357666016,,,,,,20.615799,18.285866,17.031355,16.33577,15.871981,,,,,,,,TRUE,,3,5,TRUE,,FALSE
113,APOGEE,,,,,,348.05376435669257,52.62786375027122,,,,,,14.371797,14.371797,14.371797,14.371797,14.371797,,,,,,,,TRUE,,3,5,TRUE,,FALSE
114,BOSS,,,,,,16.220903503109234,-74.46982285,,,,,,11.547842,11.547842,11.547842,11.547842,11.547842,,,,,,,,TRUE,,3,5,TRUE,,FALSE
115,APOGEE,,,,,,25.63627815246582,-62.46719742,-4.2084947,-18.993227,,4.611167,,,,,,,,,,15.476997,,,,TRUE,,3,5,TRUE,,FALSE
116,APOGEE,,,4052460905533561600,,,273.9763488769531,-27.05521584,0.2506152,-4.562319,,0.160919,,,,,,,,16.54537,14.640886,15.637927,,,,TRUE,,3,5,TRUE,,FALSE
117,BOSS,,,,,,36.82796455854301,57.176237581995395,,,,,,11.174744,11.174744,11.174744,11.174744,11.174744,,,,,,,,TRUE,,3,5,TRUE,,FALSE
118,APOGEE,,,5813619151497618944,,,263.2093505859375,-65.74384308,-0.71132976,-6.4848313,,0.52739924,,,,,,,,15.737965,14.6950245,15.295575,,,,TRUE,,3,5,TRUE,,FALSE
119,APOGEE,,,1973288609228670848,,,329.1262512207031,44.53296661376953,-3.7957919,-3.6099284,,0.4904507,,,,,,,,13.195243,12.772501,13.036578,,,,TRUE,,3,5,TRUE,,FALSE
120,APOGEE,,,5982926831058168448,,,238.59561157226562,-49.27904129,-4.0846753,-4.439897,,0.21793684,,,,,,,,16.915165,14.474542,15.59257,,,,TRUE,,3,5,TRUE,,FALSE
121,BOSS,,,,,,73.24023438,0.20651757717132568,,,,,,25.413734,23.980934,22.300028,21.551477,20.887323,,,,,,,,TRUE,,3,5,TRUE,,FALSE
122,BOSS,,,,,,150.27741102986474,77.20090774910165,,,,,,,,,,,,,,10.926746,,,,TRUE,,3,5,TRUE,,FALSE
123,APOGEE,,,5799842270816092416,,,221.13246154785156,-69.37440491,-6.91154,-2.3268716,,0.29730365,,,,,,,,13.572745,11.61305,12.588465,,,,TRUE,,3,5,TRUE,,FALSE
124,APOGEE,63050395704679924,,4351740892436039040,,,245.94744873046875,-7.32610178,-24.125172,-3.0970094,,2.0733871,,,,,,,,14.6790085,13.45233,14.144058,,,,TRUE,,3,5,TRUE,,FALSE
125,BOSS,,,5777226897163399680,,,253.24673461914062,-78.29135132,4.278907,-12.102017,,0.9074496,,,,,,,,15.771187,14.797088,15.372929,,,,TRUE,,3,5,TRUE,,FALSE
126,BOSS,,,,,,272.7005310058594,12.850948333740234,,,,,,21.956583,20.017773,19.116306,18.790098,18.518244,,,,,,,,TRUE,,3,5,TRUE,,FALSE
127,APOGEE,,,,,,289.99920654296875,-52.46260071,-1.1395025,-6.6806574,,0.7417156,,,,,,,,,,15.423563,,,,TRUE,,3,5,TRUE,,FALSE
128,BOSS,,,6736209870774856704,,,282.19036865234375,-32.09381485,-3.7470338,-4.7137465,,0.35697088,,,,,,,,16.08381,15.097567,15.680136,,,,TRUE,,3,5,TRUE,,FALSE
129,BOSS,,,4044552496355608448,,,275.3039551,-34.43371964,-2.9231193,-2.6897638,,0.059155453,,,,,,,,15.540074,13.938427,14.788319,,,,TRUE,,3,5,TRUE,,FALSE
130,APOGEE,,,,,,337.88470458984375,-9.277961731,-10.20745,-8.581147,,1.3340018,,,,,,,,,,10.129284,,,,TRUE,,3,5,TRUE,,FALSE
131,APOGEE,,,5846501146255352320,,,216.63258361816406,-69.09770203,-10.951105,-3.9519327,,0.291844,,,,,,,,14.559252,12.711482,13.651046,,,,TRUE,,3,5,TRUE,,FALSE
132,BOSS,,,5829395665912461312,,,245.22824096679688,-62.70051956,0.079439804,-2.5510042,,0.8528777,,,,,,,,15.964369,14.974426,15.553575,,,,TRUE,,3,5,TRUE,,FALSE
133,BOSS,,,4091674987752833536,,,279.2886962890625,-21.05656433,-5.0606675,-5.1329045,,0.12929237,,,,,,,,16.898922,14.99348,15.961774,,,,TRUE,,3,5,TRUE,,FALSE
134,APOGEE,,,4208289775029901440,,,292.77899169921875,-5.914134026,-3.5030572,-5.3154726,,0.13414995,,,,,,,,16.281534,14.531883,15.455056,,,,TRUE,,3,5,TRUE,,FALSE
135,BOSS,,,,,,321.33233642578125,6.116003036499023,,,,,,25.340967,23.437473,21.727844,21.220165,20.50712,,,,,,,,TRUE,,3,5,TRUE,,FALSE
136,APOGEE,,,4093920186116342016,,,273.5802917480469,-21.13858414,0.17464553,-2.4827335,,0.38706926,,,,,,,,15.126768,13.210412,14.183643,,,,TRUE,,3,5,TRUE,,FALSE
137,APOGEE,,,3803202650234276864,,,163.36988830566406,-0.673973083,-22.243174,-1.1306834,,0.7834535,,,,,,,,15.132674,14.330049,14.81713,,,,TRUE,,3,5,TRUE,,FALSE
138,APOGEE,,,,,,329.3421325683594,9.689582824707031,,,,,,26.28364,24.478987,25.07241,23.684786,23.036987,,,,,,,,TRUE,,3,5,TRUE,,FALSE
139,BOSS,,,,,,76.61762618185622,38.05534123623943,,,,,,,,,,,,,,13.107362,,,,TRUE,,3,5,TRUE,,FALSE
140,BOSS,,,,,,117.11239247983283,-81.61079919,,,,,,,,,,,,,,17.614613,,,,TRUE,,3,5,TRUE,,FALSE
141,APOGEE,,,,,,304.31831036085003,-21.93536919,,,,,,,,,,,,,,15.602236,,,,TRUE,,3,5,TRUE,,FALSE
142,BOSS,,,,,,232.6004638671875,-48.34486008,-0.37001857,-4.192707,,0.48872235,,,,,,,,,,14.275659,,,,TRUE,,3,5,TRUE,,FALSE
143,APOGEE,,,,,,352.7692882193108,54.63055845376087,,,,,,,,,,,,,,12.165727,,,,TRUE,,3,5,TRUE,,FALSE
144,BOSS,,,,,,330.56168144756754,33.227117872909545,,,,,,,,,,,,,,11.4708605,,,,TRUE,,3,5,TRUE,,FALSE
145,BOSS,,,,518786054,,273.4162902832031,-39.37337112,,,,,,,,,,,,,,,15.308,,,TRUE,,3,5,TRUE,,FALSE
146,APOGEE,,,,,,244.77034105626115,-62.00604906,,,,,,15.824518,15.824518,15.824518,15.824518,15.824518,,,,,,,,TRUE,,3,5,TRUE,,FALSE
147,APOGEE,,,,,,119.1860580444336,7.504703044891357,,,,,,22.174936,21.152554,20.427776,20.135475,19.98465,,,,,,,,TRUE,,3,5,TRUE,,FALSE
148,BOSS,,,,,,241.91470336914062,3.4725563526153564,-0.9759687,-0.2543052,,0.4012155,,,,,,,,,,12.836271,,,,TRUE,,3,5,TRUE,,FALSE
149,BOSS,,,,,,259.3881726936776,20.330626549793024,,,,,,18.320234,18.320234,18.320234,18.320234,18.320234,,,,,,,,TRUE,,3,5,TRUE,,FALSE
150,APOGEE,,,,,,252.63873354145738,-63.90749167,,,,,,,,,,,,,,15.032701,,,,TRUE,,3,5,TRUE,,FALSE
151,APOGEE,,,,,,251.79672241210938,-34.48783112,-1.1890903,-4.456173,,0.13108417,,,,,,,,,,15.533691,,,,TRUE,,3,5,TRUE,,FALSE
152,APOGEE,,,5574429536560352128,,,93.97206879,-39.32368469,-3.2150314,7.0135956,,1.1870171,,,,,,,,13.803843,13.041596,13.501831,,,,TRUE,,3,5,TRUE,,FALSE
153,BOSS,,,345932029120490880,,,29.950702667236328,42.52369308,-0.18458901,-1.2360835,,0.3114197,,,,,,,,16.490679,15.304227,15.97084,,,,TRUE,,3,5,TRUE,,FALSE
154,APOGEE,,,,,,145.91067504882812,-58.43167496,-8.396666,5.791583,,0.3190049,,,,,,,,,,15.541846,,,,TRUE,,3,5,TRUE,,FALSE
155,APOGEE,,,6018566018671555584,,,247.77407836914062,-37.66640854,-4.105602,-2.7435436,,0.16217516,,,,,,,,14.716791,11.829579,13.055666,,,,TRUE,,3,5,TRUE,,FALSE
156,APOGEE,,,,,,214.8201141357422,33.11469650268555,-8.600596,-3.814931,,0.6835482,,,,,,,,,,15.426093,,,,TRUE,,3,5,TRUE,,FALSE
